연도,순위,팀명,경기수,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율
2022,8,KIA,144,107,5,3839,1378,111,0.980,8,64,41,39.0
2022,9,두산,144,117,3,3838,1394,128,0.978,13,95,34,26.4
2022,10,한화,144,134,7,3805,1406,111,0.975,8,121,51,29.7
2023,1,LG,144,128,8,3880,1341,131,0.976,10,115,30,20.7
2023,2,한화,144,109,7,3875,1359,106,0.980,10,94,48,33.8
2023,3,SSG,144,119,15,3865,1503,163,0.978,11,127,56,30.6
2023,3,키움,144,114,5,3865,1424,125,0.979,9,129,45,25.9
2023,5,KT,144,99,16,3861,1354,117,0.981,3,111,23,17.2
2023,6,두산,144,114,11,3854,1300,108,0.978,12,60,40,40.0
2023,7,NC,144,130,7,3844,1339,126,0.976,7,96,42,30.4
2023,8,삼성,144,103,9,3835,1403,111,0.981,6,86,32,27.1
2023,9,롯데,144,103,3,3817,1365,111,0.981,13,91,46,33.6
2023,10,KIA,144,102,10,3807,1356,137,0.981,12,98,35,26.3
2024,1,KIA,144,146,7,3864,1400,133,0.973,10,108,31,22.3
2024,2,KT,144,116,10,3853,1279,110,0.978,14,142,38,21.1
2024,3,두산,144,84,9,3851,1263,109,0.984,15,97,28,22.4
2024,4,삼성,144,81,3,3848,1252,105,0.984,8,114,50,30.5
2024,5,롯데,144,123,10,3842,1411,143,0.977,3,89,36,28.8
2024,6,LG,144,102,5,3831,1348,135,0.981,10,126,40,24.1
2024,7,NC,144,108,8,3827,1312,115,0.979,8,86,51,37.2
2024,8,한화,144,105,5,3824,1324,132,0.980,12,110,43,28.1
2024,9,키움,144,104,2,3818,1309,129,0.980,10,117,40,25.5
2024,10,SSG,144,119,5,3809,1336,123,0.977,11,119,40,25.2
